Place,Population,Per Capita Income,Poverty Count
"Inyo County, California",17977,32590,1635
"Kern County, California",887641,23326,179980
"Kings County, California",150691,22373,24725
"Lake County, California",64195,27362,11753
"Lassen County, California",30818,22134,2830
"Los Angeles County, California",10081570,34156,1480446
"Madera County, California",155433,22853,29273
"Marin County, California",259943,72466,18349
"Mariposa County, California",17420,28757,2616
"Mendocino County, California",87224,29035,15251
"Merced County, California",271382,23011,56217
"Modoc County, California",8907,22843,1618
"Mono County, California",14310,34552,1713
"Monterey County, California",433410,30073,54393
"Napa County, California",139623,45195,10614
"Nevada County, California",99244,39233,10844
"Orange County, California",3168044,41514,340048
"Placer County, California",385512,43759,29588
"Plumas County, California",18660,35198,2224
"Riverside County, California",2411439,28596,325279
"Sacramento County, California",1524553,32751,220713
"San Benito County, California",60376,33174,5061
"San Bernardino County, California",2149031,25215,333613
"San Diego County, California",3316073,38073,374787
"San Francisco County, California",874961,68883,89030
"San Joaquin County, California",742603,27521,105461
"San Luis Obispo County, California",282165,37233,33261
"San Mateo County, California",767423,61545,51085
"Santa Barbara County, California",444829,36039,57556
"Santa Clara County, California",1927470,56248,142534
"Santa Cruz County, California",273962,41312,34419
"Shasta County, California",179212,29720,29423
"Sierra County, California",3040,33747,291
"Siskiyou County, California",43468,28615,8102
"Solano County, California",441829,35400,41121
"Sonoma County, California",499772,42178,45418
"Stanislaus County, California",543194,26258,81415
"Sutter County, California",96109,27371,14687
"Tehama County, California",63912,24301,13930
"Trinity County, California",12700,26523,2372
"Tulare County, California",461898,21380,108512
"Tuolumne County, California",54045,34702,6443
"Ventura County, California",847263,38595,74645
"Yolo County, California",217352,34515,39919
"Yuba County, California",76360,25583,11572
"Adams County, Colorado",504108,30313,54159
"Alamosa County, Colorado",16107,22131,3528
"Arapahoe County, Colorado",644560,40443,51542
"Archuleta County, Colorado",13253,31629,1153
"Baca County, Colorado",3561,24061,654
"Bent County, Colorado",5787,13930,1177
"Boulder County, Colorado",322510,46826,36358
"Broomfield County, Colorado",67886,50863,3763
"Chaffee County, Colorado",19557,29827,1776
"Cheyenne County, Colorado",2026,29081,203
"Clear Creek County, Colorado",9495,39203,725
"Conejos County, Colorado",8128,20640,1756
"Costilla County, Colorado",3745,21732,1023
"Crowley County, Colorado",5754,15517,1339
"Custer County, Colorado",4776,29258,601
"Delta County, Colorado",30565,26499,5379
"Denver County, Colorado",705576,43770,89203
"Dolores County, Colorado",1857,26323,246
"Douglas County, Colorado",336041,53313,10275
"Eagle County, Colorado",54681,44391,4354
"Elbert County, Colorado",25717,44690,1230
"El Paso County, Colorado",698974,33728,68548
"Fremont County, Colorado",47321,22692,5226
"Garfield County, Colorado",59055,33393,5009
"Gilpin County, Colorado",6018,49641,286
"Grand County, Colorado",15303,37876,1440
"Gunnison County, Colorado",16802,32191,2154
"Hinsdale County, Colorado",857,33570,84
"Huerfano County, Colorado",6679,25140,1030
"Jackson County, Colorado",1261,28199,121
"Jefferson County, Colorado",574798,44119,40118
"Kiowa County, Colorado",1489,25937,177
"Kit Carson County, Colorado",7447,27797,421
"Lake County, Colorado",7751,29122,1110
"La Plata County, Colorado",55617,39493,4919
"Larimer County, Colorado",344786,37363,38822
"Las Animas County, Colorado",14266,25813,2474
"Lincoln County, Colorado",5585,16753,515
"Logan County, Colorado",22380,26727,2701
"Mesa County, Colorado",151218,29596,21032
"Mineral County, Colorado",824,33955,113
"Moffat County, Colorado",13127,29100,2206
"Montezuma County, Colorado",26031,26072,3902
"Montrose County, Colorado",41686,28078,6226
"Morgan County, Colorado",28517,25064,3078
"Otero County, Colorado",18282,21110,4226
"Ouray County, Colorado",4796,41160,344
"Park County, Colorado",17867,36500,1293
"Phillips County, Colorado",4290,26494,256
"Pitkin County, Colorado",17926,54875,1200
"Prowers County, Colorado",12022,23698,1866
"Pueblo County, Colorado",165982,25051,30591
"Rio Blanco County, Colorado",6384,26487,637
"Rio Grande County, Colorado",11305,24582,1894
"Routt County, Colorado",25072,43769,2705
"Saguache County, Colorado",6592,22511,1152
"San Juan County, Colorado",589,34502,31
"San Miguel County, Colorado",8049,47526,909
"Sedgwick County, Colorado",2322,27527,434
"Summit County, Colorado",30649,41281,2437
"Teller County, Colorado",24524,35703,1984
"Washington County, Colorado",4868,27860,535
"Weld County, Colorado",305345,31793,29866
"Yuma County, Colorado",10003,27955,1357
"Fairfield County, Connecticut",943926,57263,82327
"Hartford County, Connecticut",893561,40540,94192
"Litchfield County, Connecticut",182002,44480,12416
"Middlesex County, Connecticut",163053,46023,10944
"New Haven County, Connecticut",857513,38009,97553
"New London County, Connecticut",267390,39426,24040
"Tolland County, Connecticut",151063,41371,9996
"Windham County, Connecticut",116566,32732,12678
"Kent County, Delaware",176699,28845,23134
"New Castle County, Delaware",556165,37532,61333
"Sussex County, Delaware",224384,35491,24933
"District of Columbia, District of Columbia",692683,56147,107140
"Alachua County, Florida",265443,28646,53601
"Baker County, Florida",28211,24686,3017
"Bay County, Florida",182161,29290,26221
"Bradford County, Florida",27317,20529,5202
"Brevard County, Florida",585507,32176,68456
"Broward County, Florida",1926205,32909,249553
"Calhoun County, Florida",14362,19304,1809
"Charlotte County, Florida",181067,32144,19623
"Citrus County, Florida",145169,26989,22350
"Clay County, Florida",211405,30483,21432
"Collier County, Florida",371453,45567,41243
"Columbia County, Florida",69968,24275,10261
"DeSoto County, Florida",36903,18503,9399
"Dixie County, Florida",16589,21144,3158
"Duval County, Florida",936186,31327,132346
"Escambia County, Florida",313491,28022,41439
"Flagler County, Florida",109801,29383,13488
"Franklin County, Florida",11811,26574,1917
"Gadsden County, Florida",45945,20734,9681
"Gilchrist County, Florida",17953,21578,2827
"Glades County, Florida",13516,21953,2143
"Gulf County, Florida",15576,23252,1690
"Hamilton County, Florida",14326,16136,3296
"Hardee County, Florida",27131,17754,6105
"Hendry County, Florida",40732,19167,10159
"Hernando County, Florida",186313,25860,25902
"Highlands County, Florida",103437,25752,18949
"Hillsborough County, Florida",1422278,32343,204145
"Holmes County, Florida",19432,19201,4004
"Indian River County, Florida",153989,36516,17418
"Jackson County, Florida",47945,20019,7787
"Jefferson County, Florida",14161,24510,1984
"Lafayette County, Florida",8637,20776,910
"Lake County, Florida",345867,28348,40961
"Lee County, Florida",737468,33543,95303
"Leon County, Florida",289770,30586,56797
"Levy County, Florida",40403,21579,8270
"Liberty County, Florida",8345,17872,1163
"Madison County, Florida",18460,19510,4523
"Manatee County, Florida",384213,33853,44627
"Marion County, Florida",353526,25839,55192
"Martin County, Florida",159065,42199,15367
"Miami-Dade County, Florida",2699428,28224,455005
"Monroe County, Florida",75798,46028,8160
"Nassau County, Florida",83098,36553,8680
"Okaloosa County, Florida",203794,33019,21567
"Okeechobee County, Florida",41144,21367,7982
"Orange County, Florida",1349746,30456,195467
"Osceola County, Florida",351955,22196,51791
"Palm Beach County, Florida",1465027,39933,175742
"Pasco County, Florida",524602,29001,65753
"Pinellas County, Florida",964666,35196,116107
"Polk County, Florida",686218,24864,106475
"Putnam County, Florida",73252,20915,16932
"St. Johns County, Florida",244674,43194,19779
"St. Lucie County, Florida",312947,27121,41284
"Santa Rosa County, Florida",174755,31691,16210
"Sarasota County, Florida",419496,41081,37035
"Seminole County, Florida",461402,35175,48688
"Sumter County, Florida",125044,35560,9445
"Suwannee County, Florida",44046,22808,6287
"Taylor County, Florida",21870,17391,3782
"Union County, Florida",15303,17010,1988
"Volusia County, Florida",536487,28517,75014
"Wakulla County, Florida",32321,25733,3533
"Walton County, Florida",68262,34475,8772
"Washington County, Florida",24764,18401,5291
"Appling County, Georgia",18440,21300,4042
"Atkinson County, Georgia",8239,20338,2482
"Bacon County, Georgia",11201,20326,2486
"Baker County, Georgia",3132,22525,717
"Baldwin County, Georgia",45111,21716,9725
"Banks County, Georgia",18708,21403,2488
"Barrow County, Georgia",78991,25266,9907
"Bartow County, Georgia",104919,26493,14536
"Ben Hill County, Georgia",17033,17774,4925
"Berrien County, Georgia",19152,19547,4564
"Bibb County, Georgia",153200,25640,36511
"Bleckley County, Georgia",12807,20458,2022
"Brantley County, Georgia",18756,20191,3654
"Brooks County, Georgia",15590,25700,3500
"Bryan County, Georgia",37063,31623,4565
"Bulloch County, Georgia",76120,22328,17874
"Burke County, Georgia",22520,22173,4928
