Place,Population,Per Capita Income,Poverty Count
"Washtenaw County, Michigan",367000,41399,48500
"Wayne County, Michigan",1757299,27282,387362
"Wexford County, Michigan",33256,25149,4665
"Aitkin County, Minnesota",15834,29275,1896
"Anoka County, Minnesota",350253,36978,20427
"Becker County, Minnesota",34011,31729,3678
"Beltrami County, Minnesota",46403,25418,8306
"Benton County, Minnesota",40129,29831,4071
"Big Stone County, Minnesota",4996,29459,491
"Blue Earth County, Minnesota",66795,29677,11148
"Brown County, Minnesota",25163,31237,1670
"Carlton County, Minnesota",35633,29440,3851
"Carver County, Minnesota",101949,47221,4126
"Cass County, Minnesota",29268,30326,3909
"Chippewa County, Minnesota",11953,30772,1095
"Chisago County, Minnesota",55315,35021,3210
"Clay County, Minnesota",63446,30768,7329
"Clearwater County, Minnesota",8821,27178,1260
"Cook County, Minnesota",5376,33194,670
"Cottonwood County, Minnesota",11299,27459,1214
"Crow Wing County, Minnesota",64217,32368,6810
"Dakota County, Minnesota",421453,41552,25333
"Dodge County, Minnesota",20669,34399,1053
"Douglas County, Minnesota",37513,36535,2814
"Faribault County, Minnesota",13801,29991,1543
"Fillmore County, Minnesota",20949,30392,2201
"Freeborn County, Minnesota",30463,29316,3295
"Goodhue County, Minnesota",46246,34803,4230
"Grant County, Minnesota",5935,32871,566
"Hennepin County, Minnesota",1245837,45768,127872
"Houston County, Minnesota",18648,33032,1451
"Hubbard County, Minnesota",21019,29896,2452
"Isanti County, Minnesota",39430,34054,2850
"Itasca County, Minnesota",45141,30286,5376
"Jackson County, Minnesota",9954,34325,768
"Kanabec County, Minnesota",16089,28427,1578
"Kandiyohi County, Minnesota",42841,31039,4409
"Kittson County, Minnesota",4311,30539,466
"Koochiching County, Minnesota",12515,29834,1665
"Lac qui Parle County, Minnesota",6719,32437,547
"Lake County, Minnesota",10560,34207,902
"Lake of the Woods County, Minnesota",3771,25640,399
"Le Sueur County, Minnesota",28242,33311,2389
"Lincoln County, Minnesota",5677,30253,598
"Lyon County, Minnesota",25758,29634,3473
"McLeod County, Minnesota",35832,32465,3018
"Mahnomen County, Minnesota",5501,21279,1254
"Marshall County, Minnesota",9372,30746,637
"Martin County, Minnesota",19852,31066,2685
"Meeker County, Minnesota",23105,32368,1524
"Mille Lacs County, Minnesota",25865,27758,3127
"Morrison County, Minnesota",33064,29680,3317
"Mower County, Minnesota",39807,29720,5277
"Murray County, Minnesota",8296,31874,580
"Nicollet County, Minnesota",33954,33031,3117
"Nobles County, Minnesota",21734,25939,2889
"Norman County, Minnesota",6520,30422,562
"Olmsted County, Minnesota",154809,41066,12864
"Otter Tail County, Minnesota",58195,32059,5328
"Pennington County, Minnesota",14183,31159,1535
"Pine County, Minnesota",29223,26407,3027
"Pipestone County, Minnesota",9191,30540,1056
"Polk County, Minnesota",31521,30078,3579
"Pope County, Minnesota",11048,34166,779
"Ramsey County, Minnesota",544442,35013,74112
"Red Lake County, Minnesota",4015,30037,416
"Redwood County, Minnesota",15261,28611,1508
"Renville County, Minnesota",14652,31253,1420
"Rice County, Minnesota",66185,31221,5301
"Rock County, Minnesota",9402,31345,824
"Roseau County, Minnesota",15361,30193,1219
"St. Louis County, Minnesota",199759,31537,26991
"Scott County, Minnesota",145275,42155,7896
"Sherburne County, Minnesota",94463,35439,5912
"Sibley County, Minnesota",14892,32016,1170
"Stearns County, Minnesota",158452,30994,19552
"Steele County, Minnesota",36683,32477,3236
"Stevens County, Minnesota",9789,32542,1178
"Swift County, Minnesota",9359,31765,1155
"Todd County, Minnesota",24494,26678,2871
"Traverse County, Minnesota",3311,32548,319
"Wabasha County, Minnesota",21537,34442,1651
"Wadena County, Minnesota",13654,24214,1907
"Waseca County, Minnesota",18740,29929,1718
"Washington County, Minnesota",255938,45822,10822
"Watonwan County, Minnesota",10972,28341,1451
"Wilkin County, Minnesota",6291,34543,564
"Winona County, Minnesota",50725,30013,6074
"Wright County, Minnesota",134438,36260,6122
"Yellow Medicine County, Minnesota",9814,29908,1130
"Adams County, Mississippi",31266,18386,9052
"Alcorn County, Mississippi",37090,23909,5440
"Amite County, Mississippi",12412,21568,3281
"Attala County, Mississippi",18437,21276,4834
"Benton County, Mississippi",8232,20643,1652
"Bolivar County, Mississippi",31848,18843,10593
"Calhoun County, Mississippi",14499,19229,3066
"Carroll County, Mississippi",10070,22385,1676
"Chickasaw County, Mississippi",17193,19926,3441
"Choctaw County, Mississippi",8277,22257,1600
"Claiborne County, Mississippi",9089,14320,3419
"Clarke County, Mississippi",15770,23988,2997
"Clay County, Mississippi",19640,20599,4941
"Coahoma County, Mississippi",23255,18985,7882
"Copiah County, Mississippi",28501,20093,6611
"Covington County, Mississippi",18978,19180,4515
"DeSoto County, Mississippi",178975,30195,16261
"Forrest County, Mississippi",75224,22534,18604
"Franklin County, Mississippi",7733,23067,1153
"George County, Mississippi",23917,22732,4018
"Greene County, Mississippi",13645,16006,1801
"Grenada County, Mississippi",21088,23135,4362
"Hancock County, Mississippi",46961,27462,8619
"Harrison County, Mississippi",204502,25415,39981
"Hinds County, Mississippi",238797,23734,48955
"Holmes County, Mississippi",17737,15291,7202
"Humphreys County, Mississippi",8389,18513,3020
"Issaquena County, Mississippi",1361,16388,383
"Itawamba County, Mississippi",23462,22806,3021
"Jackson County, Mississippi",142376,27141,22794
"Jasper County, Mississippi",16505,22523,3661
"Jefferson County, Mississippi",7225,14659,2530
"Jefferson Davis County, Mississippi",11339,20638,2781
"Jones County, Mississippi",68352,23163,14483
"Kemper County, Mississippi",9943,16995,2579
"Lafayette County, Mississippi",53590,27765,10788
"Lamar County, Mississippi",61969,30062,11217
"Lauderdale County, Mississippi",76279,24698,15181
"Lawrence County, Mississippi",12633,22980,2352
"Leake County, Mississippi",22792,19893,5824
"Lee County, Mississippi",85072,26369,12254
"Leflore County, Mississippi",29222,18419,10260
"Lincoln County, Mississippi",34320,23541,7094
"Lowndes County, Mississippi",59150,26438,11722
"Madison County, Mississippi",104562,38901,9883
"Marion County, Mississippi",24990,19545,6193
"Marshall County, Mississippi",35599,21853,6275
"Monroe County, Mississippi",35673,23844,6125
"Montgomery County, Mississippi",10068,24054,2686
"Neshoba County, Mississippi",29332,19540,7388
"Newton County, Mississippi",21360,20787,5305
"Noxubee County, Mississippi",10700,18525,3406
"Oktibbeha County, Mississippi",49512,22512,13499
"Panola County, Mississippi",34190,19892,6877
"Pearl River County, Mississippi",55219,23920,9188
"Perry County, Mississippi",12006,23166,2254
"Pike County, Mississippi",39532,17621,12637
"Pontotoc County, Mississippi",31618,21191,5055
"Prentiss County, Mississippi",25255,19693,5275
"Quitman County, Mississippi",7187,15026,2497
"Rankin County, Mississippi",152677,30835,12245
"Scott County, Mississippi",28332,22203,7141
"Sharkey County, Mississippi",4404,19958,1178
"Simpson County, Mississippi",26888,23520,5098
"Smith County, Mississippi",16009,23698,3002
"Stone County, Mississippi",18276,23820,3466
"Sunflower County, Mississippi",26168,15646,6937
"Tallahatchie County, Mississippi",14158,16742,3713
"Tate County, Mississippi",28404,23340,4775
"Tippah County, Mississippi",22018,19501,4321
"Tishomingo County, Mississippi",19441,20390,3787
"Tunica County, Mississippi",9988,20579,2322
"Union County, Mississippi",28507,21705,4255
"Walthall County, Mississippi",14477,21123,3431
"Warren County, Mississippi",46519,25661,9487
"Washington County, Mississippi",46057,20174,15399
"Wayne County, Mississippi",20373,23668,4136
"Webster County, Mississippi",9768,22011,2136
"Wilkinson County, Mississippi",8875,15475,2673
"Winston County, Mississippi",18229,25263,4104
"Yalobusha County, Mississippi",12367,20690,2234
"Yazoo County, Mississippi",28565,19972,7503
"Adair County, Missouri",25369,22847,5421
"Andrew County, Missouri",17503,29338,1362
"Atchison County, Missouri",5229,31248,620
"Audrain County, Missouri",25644,23024,3540
"Barry County, Missouri",35530,25068,7370
"Barton County, Missouri",11797,26509,2366
"Bates County, Missouri",16296,27635,1908
"Benton County, Missouri",19107,24317,3346
"Bollinger County, Missouri",12225,21340,1840
"Boone County, Missouri",177651,30415,30183
"Buchanan County, Missouri",88460,26347,14519
"Butler County, Missouri",42656,21652,9893
"Caldwell County, Missouri",9039,24581,1381
"Callaway County, Missouri",44889,25849,4335
"Camden County, Missouri",45466,28275,6599
"Cape Girardeau County, Missouri",78491,28267,12328
"Carroll County, Missouri",8781,25715,1255
"Carter County, Missouri",6147,22104,801
"Cass County, Missouri",103597,32868,9173
"Cedar County, Missouri",14043,22623,2183
"Chariton County, Missouri",7483,23903,1013
"Christian County, Missouri",85658,28216,8433
"Clark County, Missouri",6779,26490,990
"Clay County, Missouri",242516,34560,19551
"Clinton County, Missouri",20500,29081,1761
"Cole County, Missouri",76723,30422,7416
"Cooper County, Missouri",17660,23961,1936
"Crawford County, Missouri",24154,22220,4384
"Dade County, Missouri",7578,23186,1586
"Dallas County, Missouri",16617,23647,2186
"Daviess County, Missouri",8295,24929,1176
"DeKalb County, Missouri",12526,20125,1120
"Dent County, Missouri",15545,22711,3428
"Douglas County, Missouri",13306,21083,2674
"Dunklin County, Missouri",30027,21801,7505
"Franklin County, Missouri",103191,30278,10638
"Gasconade County, Missouri",14711,28617,1296
"Gentry County, Missouri",6616,24269,958
"Greene County, Missouri",289756,27525,45603
"Grundy County, Missouri",9992,23497,1677
"Harrison County, Missouri",8491,22032,1373
"Henry County, Missouri",21735,26944,4509
"Hickory County, Missouri",9404,20736,1607
"Holt County, Missouri",4432,27520,434
"Howard County, Missouri",10058,23753,1326
"Howell County, Missouri",40104,21048,8782
"Iron County, Missouri",10164,21499,2187
"Jackson County, Missouri",696216,31480,100359
"Jasper County, Missouri",119920,24484,20089
"Jefferson County, Missouri",223951,29999,21195
"Johnson County, Missouri",53682,25380,7098
"Knox County, Missouri",3947,22326,728
"Laclede County, Missouri",35531,23051,5265
"Lafayette County, Missouri",32597,29565,4017
"Lawrence County, Missouri",38204,22957,6306
"Lewis County, Missouri",9955,22739,1709
"Lincoln County, Missouri",56477,26848,6128
"Linn County, Missouri",12113,25130,1843
"Livingston County, Missouri",15126,23587,2247
"McDonald County, Missouri",22782,20468,4177
"Macon County, Missouri",15199,22136,1908
"Madison County, Missouri",12179,24418,1692
"Maries County, Missouri",8803,26226,1482
"Marion County, Missouri",28608,25069,4685
"Mercer County, Missouri",3644,23042,362
"Miller County, Missouri",25201,25827,4173
"Mississippi County, Missouri",13574,18549,2985
"Moniteau County, Missouri",16046,24224,1760
"Monroe County, Missouri",8629,24697,1143
"Montgomery County, Missouri",11487,24682,1804
"Morgan County, Missouri",20271,21316,4630
"New Madrid County, Missouri",17560,21419,3809
"Newton County, Missouri",58180,28353,7714
"Nodaway County, Missouri",22359,22915,4263
"Oregon County, Missouri",10647,18398,2488
"Osage County, Missouri",13615,29061,983
"Ozark County, Missouri",9207,18739,2686
"Pemiscot County, Missouri",16663,20646,4480
"Perry County, Missouri",19191,26609,1392
"Pettis County, Missouri",42355,23576,6794
"Phelps County, Missouri",44630,25202,8569
"Pike County, Missouri",18455,22297,2438
"Platte County, Missouri",100682,40567,6191
"Polk County, Missouri",31748,22773,4964
"Pulaski County, Missouri",52425,23651,6497
"Putnam County, Missouri",4781,24758,794
"Ralls County, Missouri",10234,27023,1381
"Randolph County, Missouri",24878,21240,3712
"Ray County, Missouri",22875,29524,2677
"Reynolds County, Missouri",6290,22720,1189
"Ripley County, Missouri",13567,18119,3406
"St. Charles County, Missouri",394290,38943,19984
"St. Clair County, Missouri",9370,22520,1544
"Ste. Genevieve County, Missouri",17848,29742,2023
"St. Francois County, Missouri",66643,22578,9249
"St. Louis County, Missouri",996919,41426,95123
"Saline County, Missouri",22976,22942,3517
"Schuyler County, Missouri",4555,19862,799
"Scotland County, Missouri",4902,27706,639
"Scott County, Missouri",38633,24921,7512
"Shannon County, Missouri",8217,17387,2217
"Shelby County, Missouri",6013,24304,927
"Stoddard County, Missouri",29377,22138,5264
"Stone County, Missouri",31615,29026,4025
"Sullivan County, Missouri",6247,22370,1024
"Taney County, Missouri",55114,23776,7839
"Texas County, Missouri",25604,19973,6111
"Vernon County, Missouri",20595,24312,2923
"Warren County, Missouri",34453,28641,4581
"Washington County, Missouri",24860,20581,4749
"Wayne County, Missouri",13195,19457,3115
"Webster County, Missouri",38655,22961,6674
"Worth County, Missouri",2027,26137,271
"Wright County, Missouri",18203,19850,4339
"St. Louis city, Missouri",308174,30542,65412
"Beaverhead County, Montana",9415,28401,1580
"Big Horn County, Montana",13387,18934,3369
"Blaine County, Montana",6719,19258,2011
"Broadwater County, Montana",5945,31631,502
"Carbon County, Montana",10597,33067,1012
"Carter County, Montana",1331,28577,171
"Cascade County, Montana",81625,30110,10561
"Chouteau County, Montana",5732,23769,972
"Custer County, Montana",11729,30504,1304
"Daniels County, Montana",1730,35133,82
"Dawson County, Montana",9017,31658,945
"Deer Lodge County, Montana",9106,26241,1726
"Fallon County, Montana",2921,37024,251
"Fergus County, Montana",11221,30529,1739
"Flathead County, Montana",99899,31694,10831
"Gallatin County, Montana",108063,36924,11775
"Garfield County, Montana",1036,28541,62
"Glacier County, Montana",13732,18043,4159
"Golden Valley County, Montana",728,30790,121
"Granite County, Montana",3311,30752,255
"Hill County, Montana",16436,23589,2962
"Jefferson County, Montana",11917,32773,917
"Judith Basin County, Montana",1954,28811,248
"Lake County, Montana",30013,25388,5735
"Lewis and Clark County, Montana",67805,34504,6860
"Liberty County, Montana",2351,43320,377
"Lincoln County, Montana",19537,25081,3363
"McCone County, Montana",1790,27912,108
"Madison County, Montana",8302,35719,691
"Meagher County, Montana",1888,24723,221
"Mineral County, Montana",4251,23621,778
"Missoula County, Montana",117309,31897,16317
"Musselshell County, Montana",4766,24979,596
"Park County, Montana",16352,35123,2043
"Petroleum County, Montana",453,31177,41
"Phillips County, Montana",4077,25605,497
"Pondera County, Montana",5994,25633,1130
"Powder River County, Montana",1607,32094,201
"Powell County, Montana",6854,26456,610
"Prairie County, Montana",1252,27377,163
"Ravalli County, Montana",42512,29761,5195
"Richland County, Montana",11199,33109,649
"Roosevelt County, Montana",11175,18657,3074
"Rosebud County, Montana",9152,24922,1538
"Sanders County, Montana",11681,25309,1835
"Sheridan County, Montana",3483,36091,346
"Silver Bow County, Montana",34770,27706,5892
"Stillwater County, Montana",9466,32301,679
"Sweet Grass County, Montana",3670,30050,209
"Teton County, Montana",6086,28022,795
"Toole County, Montana",4892,27528,518
"Treasure County, Montana",668,29763,115
"Valley County, Montana",7471,27946,819
"Wheatland County, Montana",2142,21619,324
"Wibaux County, Montana",1122,25591,132
"Yellowstone County, Montana",159008,34451,15199
"Adams County, Nebraska",31587,28729,3750
"Antelope County, Nebraska",6341,26523,694
"Arthur County, Nebraska",427,25906,57
"Banner County, Nebraska",722,27552,42
"Blaine County, Nebraska",477,25097,62
"Boone County, Nebraska",5279,33027,302
"Box Butte County, Nebraska",10970,28156,1514
"Boyd County, Nebraska",1937,29871,172
"Brown County, Nebraska",3015,30674,385
"Buffalo County, Nebraska",49209,31043,6318
"Burt County, Nebraska",6510,31635,788
"Butler County, Nebraska",8029,30095,563
"Cass County, Nebraska",25888,33851,1723
"Cedar County, Nebraska",8498,30163,595
"Chase County, Nebraska",3783,30080,359
"Cherry County, Nebraska",5779,29415,446
"Cheyenne County, Nebraska",9604,31294,906
"Clay County, Nebraska",6203,27539,641
"Colfax County, Nebraska",10714,23603,1291
"Cuming County, Nebraska",8952,29765,606
"Custer County, Nebraska",10826,33561,1222
"Dakota County, Nebraska",20173,25269,3227
"Dawes County, Nebraska",8810,25383,1144
"Dawson County, Nebraska",23733,25956,2960
"Deuel County, Nebraska",1831,26351,159
"Dixon County, Nebraska",5719,27634,533
"Dodge County, Nebraska",36665,28019,4452
"Douglas County, Nebraska",560617,35307,65887
"Dundy County, Nebraska",1913,25479,198
"Fillmore County, Nebraska",5547,34483,469
"Franklin County, Nebraska",2987,28365,424
"Frontier County, Nebraska",2640,28899,226
"Furnas County, Nebraska",4747,27021,512
"Gage County, Nebraska",21594,29565,2251
"Garden County, Nebraska",1864,35050,141
"Garfield County, Nebraska",2001,29146,178
"Gosper County, Nebraska",2013,37565,107
"Grant County, Nebraska",722,23264,109
"Greeley County, Nebraska",2382,26553,239
"Hall County, Nebraska",61265,28359,7078
"Hamilton County, Nebraska",9215,32131,468
"Harlan County, Nebraska",3415,28919,354
"Hayes County, Nebraska",893,31286,99
"Hitchcock County, Nebraska",2815,30037,311
"Holt County, Nebraska",10177,31785,783
"Hooker County, Nebraska",693,27714,101
"Howard County, Nebraska",6417,27489,505
"Jefferson County, Nebraska",7144,27461,790
"Johnson County, Nebraska",5161,24072,351
"Kearney County, Nebraska",6529,31094,637
"Keith County, Nebraska",8068,29823,993
"Keya Paha County, Nebraska",760,28853,57
"Kimball County, Nebraska",3633,27478,388
"Knox County, Nebraska",8426,28409,763
"Lancaster County, Nebraska",313158,32378,37502
"Lincoln County, Nebraska",35263,31567,3397
"Logan County, Nebraska",927,24355,104
"Loup County, Nebraska",605,27726,52
"McPherson County, Nebraska",395,30063,68
"Madison County, Nebraska",35080,28179,5069
"Merrick County, Nebraska",7798,28795,915
"Morrill County, Nebraska",4781,26951,404
"Nance County, Nebraska",3544,29454,392
"Nemaha County, Nebraska",6973,29574,746
"Nuckolls County, Nebraska",4244,30078,467
"Otoe County, Nebraska",15949,31450,1720
"Pawnee County, Nebraska",2649,27162,492
"Perkins County, Nebraska",2901,35765,144
"Phelps County, Nebraska",9100,32864,841
"Pierce County, Nebraska",7144,32040,555
"Platte County, Nebraska",33174,30331,2836
"Polk County, Nebraska",5225,30234,393
"Red Willow County, Nebraska",10768,27392,1215
"Richardson County, Nebraska",7961,28309,954
"Rock County, Nebraska",1414,36140,71
"Saline County, Nebraska",14270,24627,2030
"Sarpy County, Nebraska",181232,36058,10654
"Saunders County, Nebraska",21165,33851,1700
"Scotts Bluff County, Nebraska",36074,27978,4769
"Seward County, Nebraska",17171,32040,1019
"Sheridan County, Nebraska",5231,29477,886
"Sherman County, Nebraska",3033,28448,368
"Sioux County, Nebraska",1219,28646,104
"Stanton County, Nebraska",5957,29117,366
"Thayer County, Nebraska",5057,29632,474
"Thomas County, Nebraska",645,36572,54
"Thurston County, Nebraska",7181,20141,1813
"Valley County, Nebraska",4206,29378,388
"Washington County, Nebraska",20361,35145,1587
"Wayne County, Nebraska",9332,27671,983
"Webster County, Nebraska",3537,29969,371
"Wheeler County, Nebraska",783,29037,103
"York County, Nebraska",13745,32975,1243
"Churchill County, Nevada",24259,28462,3119
"Clark County, Nevada",2182004,30704,295030
"Douglas County, Nevada",48132,38814,4170
"Elko County, Nevada",52297,33875,6026
"Esmeralda County, Nevada",969,25849,86
"Eureka County, Nevada",1859,34249,148
"Humboldt County, Nevada",16828,33362,2208
"Lander County, Nevada",5643,34000,543
"Lincoln County, Nevada",5180,26432,253
"Lyon County, Nevada",54380,27855,6293
"Mineral County, Nevada",4460,22921,871
"Nye County, Nevada",44380,25558,7157
"Pershing County, Nevada",6615,19891,567
"Storey County, Nevada",3988,37941,324
"Washoe County, Nevada",456936,36071,50827
"White Pine County, Nevada",9679,25675,1108
"Carson City, Nevada",54773,31549,5960
"Belknap County, New Hampshire",60887,37430,5186
"Carroll County, New Hampshire",48138,37490,4272
"Cheshire County, New Hampshire",76042,33946,6409
"Coos County, New Hampshire",31741,27393,3675
"Grafton County, New Hampshire",89777,37750,7968
"Hillsborough County, New Hampshire",413035,40955,31468
"Merrimack County, New Hampshire",149917,37367,9348
"Rockingham County, New Hampshire",306359,47222,14096
"Strafford County, New Hampshire",129124,35601,11321
"Sullivan County, New Hampshire",43104,33042,4939
"Atlantic County, New Jersey",266105,33284,34691
"Bergen County, New Jersey",930390,51214,61205
"Burlington County, New Jersey",445702,43187,26671
"Camden County, New Jersey",506738,35958,61187
"Cape May County, New Jersey",93086,40389,8878
"Cumberland County, New Jersey",151906,25694,23051
"Essex County, New Jersey",795404,38722,122569
"Gloucester County, New Jersey",291165,39337,21340
"Hudson County, New Jersey",670046,40740,100869
"Hunterdon County, New Jersey",124823,57098,5474
"Mercer County, New Jersey",367922,43086,40980
"Middlesex County, New Jersey",825920,39599,67683
"Monmouth County, New Jersey",621659,51700,42734
"Morris County, New Jersey",493379,58109,23212
"Ocean County, New Jersey",596415,36100,59463
"Passaic County, New Jersey",503637,32064,77841
"Salem County, New Jersey",62990,34047,7651
"Somerset County, New Jersey",329838,55828,16762
"Sussex County, New Jersey",141483,44728,6920
"Union County, New Jersey",554033,41603,52015
"Warren County, New Jersey",105862,39802,7885
"Bernalillo County, New Mexico",677858,30734,111693
"Catron County, New Mexico",3526,21989,571
"Chaves County, New Mexico",65144,22041,12280
"Cibola County, New Mexico",26891,20018,6660
"Colfax County, New Mexico",12168,24035,2316
"Curry County, New Mexico",49732,23021,10186
"De Baca County, New Mexico",2040,17376,323
"Doña Ana County, New Mexico",216069,22154,55581
"Eddy County, New Mexico",57732,30246,8323
"Grant County, New Mexico",27669,25590,6460
"Guadalupe County, New Mexico",4353,17420,561
"Harding County, New Mexico",441,34721,63
"Hidalgo County, New Mexico",4297,22009,1079
"Lea County, New Mexico",70277,25585,10698
"Lincoln County, New Mexico",19461,27454,2026
"Los Alamos County, New Mexico",18625,60746,809
"Luna County, New Mexico",24083,17168,6553
"McKinley County, New Mexico",72438,15931,24982
"Mora County, New Mexico",4536,19864,903
"Otero County, New Mexico",66137,23170,13816
"Quay County, New Mexico",8326,19784,1659
"Rio Arriba County, New Mexico",39159,22911,9351
"Roosevelt County, New Mexico",18888,20123,4425
"Sandoval County, New Mexico",142704,29255,18049
"San Juan County, New Mexico",126515,23235,26075
"San Miguel County, New Mexico",27738,20762,7392
"Santa Fe County, New Mexico",149293,38520,18797
"Sierra County, New Mexico",11031,25344,2849
"Socorro County, New Mexico",16858,18948,4824
"Taos County, New Mexico",32786,25646,5976
"Torrance County, New Mexico",15519,20876,3590
"Union County, New Mexico",4133,22116,670
"Valencia County, New Mexico",76027,23675,12525
"Albany County, New York",306968,37635,34570
"Allegany County, New York",46688,24857,7047
"Bronx County, New York",1435068,21778,392172
"Broome County, New York",193188,28699,31945
"Cattaraugus County, New York",77121,25822,12324
"Cayuga County, New York",77425,30509,8812
"Chautauqua County, New York",128496,26165,22398
"Chemung County, New York",84895,28778,11136
"Chenango County, New York",47909,27708,6368
"Clinton County, New York",80583,27761,10902
"Columbia County, New York",60371,38268,6777
"Cortland County, New York",47865,28229,7272
"Delaware County, New York",44995,27701,7071
"Dutchess County, New York",293754,40093,25065
"Erie County, New York",919355,33598,126806
"Essex County, New York",37459,31667,3435
"Franklin County, New York",50477,25406,7981
"Fulton County, New York",53646,27443,7814
"Genesee County, New York",57808,30511,6189
"Greene County, New York",47424,28433,6167
"Hamilton County, New York",4515,24851,443
"Herkimer County, New York",62057,27850,8307
"Jefferson County, New York",112842,26194,14897
"Kings County, New York",2589974,34173,511631
"Lewis County, New York",26572,26708,3540
"Livingston County, New York",63591,28701,7572
"Madison County, New York",71205,30469,6459
"Monroe County, New York",743341,33840,103406
"Montgomery County, New York",49302,26521,9544
"Nassau County, New York",1356509,51422,74291
"New York County, New York",1631993,76592,250913
"Niagara County, New York",210820,30971,27857
"Oneida County, New York",229959,29687,33715
"Onondaga County, New York",462872,34002,62610
"Ontario County, New York",109511,36835,9193
"Orange County, New York",380085,34959,43142
"Orleans County, New York",40904,26298,5226
"Oswego County, New York",118339,28587,19213
"Otsego County, New York",59972,28849,8154
"Putnam County, New York",98787,47448,4847
"Queens County, New York",2287388,31930,276447
"Rensselaer County, New York",159185,35903,17963
"Richmond County, New York",474893,36907,54621
"Rockland County, New York",324422,39286,44404
"St. Lawrence County, New York",108913,25378,17328
"Saratoga County, New York",228502,43065,13148
"Schenectady County, New York",154859,32417,17271
"Schoharie County, New York",31222,30397,3612
"Schuyler County, New York",17920,27678,2717
"Seneca County, New York",34390,28245,3825
"Steuben County, New York",96422,29886,12971
"Suffolk County, New York",1483832,44465,100133
"Sullivan County, New York",75116,30446,10999
"Tioga County, New York",48686,31822,4899
"Tompkins County, New York",102642,33075,16838
"Ulster County, New York",178665,34834,23571
"Warren County, New York",64276,35271,5997
"Washington County, New York",61616,28530,6578
"Wayne County, New York",90519,31043,10371
"Westchester County, New York",968890,57049,83603
"Wyoming County, New York",40305,27947,3933
"Yates County, New York",25011,28270,2837
"Alamance County, North Carolina",163324,27312,25621
"Alexander County, North Carolina",37213,26688,4870
"Alleghany County, North Carolina",11008,23267,2552
"Anson County, North Carolina",24902,21635,4499
"Ashe County, North Carolina",26863,24814,4317
"Avery County, North Carolina",17506,21167,2123
"Beaufort County, North Carolina",47168,27504,8689
"Bertie County, North Carolina",19380,22947,4181
"Bladen County, North Carolina",33407,23440,8008
"Brunswick County, North Carolina",131815,33312,15402
"Buncombe County, North Carolina",256886,32426,30542
"Burke County, North Carolina",89968,24481,15784
"Cabarrus County, North Carolina",206615,32255,20920
"Caldwell County, North Carolina",81884,23869,12196
"Camden County, North Carolina",10551,28221,969
"Carteret County, North Carolina",69070,33722,7238
"Caswell County, North Carolina",22684,23901,3928
"Catawba County, North Carolina",157613,28224,20460
"Chatham County, North Carolina",71338,40967,7169
"Cherokee County, North Carolina",27969,23902,4593
"Chowan County, North Carolina",14097,26256,2207
"Clay County, North Carolina",10946,28467,1513
"Cleveland County, North Carolina",97282,22589,19391
"Columbus County, North Carolina",56068,22608,12101
"Craven County, North Carolina",102491,29521,14773
"Cumberland County, North Carolina",332861,24936,58132
"Currituck County, North Carolina",26363,31849,2479
"Dare County, North Carolina",36222,34578,3230
"Davidson County, North Carolina",165381,25988,25091
"Davie County, North Carolina",42257,31173,5835
"Duplin County, North Carolina",58967,20254,12375
"Durham County, North Carolina",311848,35398,45221
"Edgecombe County, North Carolina",52648,20626,12317
"Forsyth County, North Carolina",375195,30769,61366
"Franklin County, North Carolina",66362,27294,8523
"Gaston County, North Carolina",219271,27352,31210
"Gates County, North Carolina",11548,25846,1548
"Graham County, North Carolina",8509,20323,1428
"Granville County, North Carolina",59328,27131,8031
"Greene County, North Carolina",21033,19168,4255
"Guilford County, North Carolina",527868,30767,80528
"Halifax County, North Carolina",51190,21848,12864
"Harnett County, North Carolina",132283,23767,20331
"Haywood County, North Carolina",61053,30490,8087
"Henderson County, North Carolina",114913,31564,12408
"Hertford County, North Carolina",24012,20119,4786
"Hoke County, North Carolina",53957,20991,10605
"Hyde County, North Carolina",5213,18245,1125
"Iredell County, North Carolina",175538,33194,18982
"Jackson County, North Carolina",42938,25347,7296
"Johnston County, North Carolina",196870,27924,24414
"Jones County, North Carolina",9594,21928,2333
"Lee County, North Carolina",60481,24842,9565
"Lenoir County, North Carolina",56756,23865,12836
"Lincoln County, North Carolina",82919,31771,9916
"McDowell County, North Carolina",45227,24281,7402
"Macon County, North Carolina",34813,28936,5323
"Madison County, North Carolina",21499,25956,3342
"Martin County, North Carolina",22849,23575,4463
"Mecklenburg County, North Carolina",1074475,38819,122537
"Mitchell County, North Carolina",15004,25009,1886
"Montgomery County, North Carolina",27252,24636,4621
"Moore County, North Carolina",97294,34606,10878
"Nash County, North Carolina",94030,27406,13944
"New Hanover County, North Carolina",227938,34288,35410
"Northampton County, North Carolina",19946,22002,3941
"Onslow County, North Carolina",195069,24413,23065
"Orange County, North Carolina",144836,42231,18266
"Pamlico County, North Carolina",12701,29092,1509
"Pasquotank County, North Carolina",39514,24664,5800
"Pender County, North Carolina",60399,29266,8334
"Perquimans County, North Carolina",13430,27569,2008
"Person County, North Carolina",39345,27329,6237
"Pitt County, North Carolina",178433,27155,39314
"Polk County, North Carolina",20557,30756,1992
"Randolph County, North Carolina",143118,24397,21457
"Richmond County, North Carolina",44997,21228,10935
"Robeson County, North Carolina",132596,18709,35706
"Rockingham County, North Carolina",91077,24209,16267
